LdSpp,eco_boundary,AIDBSPP,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
Nope,Hudson Plains,Not stocked,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amabilis fir,Hudson Plains,Amabilis fir,0,0.0,0.0,0.0001,0.0034,0.0318,0.141,0.4085,0.9073,1.6877,2.7729,4.1626,5.8396,7.7766,9.9409,12.2981,14.815,17.4603,20.2057,23.0261,25.8996
Balsam fir,Hudson Plains,Balsam fir,0,0.0,0.0253,0.5069,2.2672,5.5697,10.1405,15.5574,21.446,27.5279,33.6137,39.581,45.3555,50.8948,56.1782,61.1989,65.9586,70.465,74.7284,78.7613,82.5766
Subalpine fir (or alpine fir),Hudson Plains,Subalpine fir (or alpine fir),0,0.0,0.0253,0.5069,2.2672,5.5697,10.1405,15.5574,21.446,27.5279,33.6137,39.581,45.3555,50.8948,56.1782,61.1989,65.9586,70.465,74.7284,78.7613,82.5766
Bigleaf maple,Hudson Plains,Bigleaf maple,0,0.0154,2.9887,17.2915,41.5915,70.4221,100.0411,128.5538,155.1547,179.5948,201.891,222.1772,240.631,257.438,272.7752,286.8047,299.6712,311.5024,322.4107,332.4941,341.8385
Red maple,Hudson Plains,Red maple,0,0.0154,2.9887,17.2915,41.5915,70.4221,100.0411,128.5538,155.1547,179.5948,201.891,222.1772,240.631,257.438,272.7752,286.8047,299.6712,311.5024,322.4107,332.4941,341.8385
Sugar maple,Hudson Plains,Sugar maple,0,0.0154,2.9887,17.2915,41.5915,70.4221,100.0411,128.5538,155.1547,179.5948,201.891,222.1772,240.631,257.438,272.7752,286.8047,299.6712,311.5024,322.4107,332.4941,341.8385
Alder,Hudson Plains,Alder,0,0.0154,2.9887,17.2915,41.5915,70.4221,100.0411,128.5538,155.1547,179.5948,201.891,222.1772,240.631,257.438,272.7752,286.8047,299.6712,311.5024,322.4107,332.4941,341.8385
Red alder,Hudson Plains,Red alder,0,0.0154,2.9887,17.2915,41.5915,70.4221,100.0411,128.5538,155.1547,179.5948,201.891,222.1772,240.631,257.438,272.7752,286.8047,299.6712,311.5024,322.4107,332.4941,341.8385
Yellow birch,Hudson Plains,Yellow birch,0,0.0154,2.9887,17.2915,41.5915,70.4221,100.0411,128.5538,155.1547,179.5948,201.891,222.1772,240.631,257.438,272.7752,286.8047,299.6712,311.5024,322.4107,332.4941,341.8385
White birch,Hudson Plains,White birch,0,0.0055,1.941,13.6775,36.3074,65.2213,96.3796,127.3869,157.0289,184.7755,210.4633,234.1153,255.8434,275.7965,294.1332,311.0084,326.5664,340.9392,354.2452,366.5901,378.068
Cedar,Hudson Plains,Cedar,0,0.0,0.0,0.0001,0.0034,0.0318,0.141,0.4085,0.9073,1.6877,2.7729,4.1626,5.8396,7.7766,9.9409,12.2981,14.815,17.4603,20.2057,23.0261,25.8996
